20141123 20:27:05 TRACE Partie: Ajout plaque N07
20141123 20:27:05 TRACE Partie: Ajout plaque R08
20141123 20:27:05 TRACE Partie: Ajout plaque B08
20141123 20:27:05 TRACE Partie: Ajout plaque J08
20141123 20:27:05 TRACE Partie: Ajout plaque N08
20141123 20:27:05 TRACE Partie: Ajout plaque R09
20141123 20:27:05 TRACE Partie: Ajout plaque B09
20141123 20:27:05 TRACE Partie: Ajout plaque J09
20141123 20:27:05 TRACE Partie: Ajout plaque N09
20141123 20:27:05 TRACE Partie: Ajout plaque R10
20141123 20:27:05 TRACE Partie: Ajout plaque B10
20141123 20:27:05 TRACE Partie: Ajout plaque J10
20141123 20:27:05 TRACE Partie: Ajout plaque N10
20141123 20:27:05 TRACE Partie: Ajout plaque R11
20141123 20:27:05 TRACE Partie: Ajout plaque B11
20141123 20:27:05 TRACE Partie: Ajout plaque J11
20141123 20:27:05 TRACE Partie: Ajout plaque N11
20141123 20:27:05 TRACE Partie: Ajout plaque R12
20141123 20:27:05 TRACE Partie: Ajout plaque B12
20141123 20:27:05 TRACE Partie: Ajout plaque J12
20141123 20:27:05 TRACE Partie: Ajout plaque N12
20141123 20:27:05 TRACE Partie: Ajout plaque R13
20141123 20:27:05 TRACE Partie: Ajout plaque B13
20141123 20:27:05 TRACE Partie: Ajout plaque J13
20141123 20:27:05 TRACE Partie: Ajout plaque N13
20141123 20:27:05 DEBUG Partie: Fin initialisation
20141123 20:27:05 DEBUG Partie: 56 plaques dans la pioche
20141123 20:38:08 DEBUG Partie: Debut initialisation
20141123 20:38:08 TRACE Partie: Ajout plaque R00
20141123 20:38:08 TRACE Partie: Ajout plaque B00
20141123 20:38:08 TRACE Partie: Ajout plaque J00
20141123 20:38:08 TRACE Partie: Ajout plaque N00
20141123 20:38:08 TRACE Partie: Ajout plaque R01
20141123 20:38:08 TRACE Partie: Ajout plaque B01
20141123 20:38:08 TRACE Partie: Ajout plaque J01
20141123 20:38:08 TRACE Partie: Ajout plaque N01
20141123 20:38:08 TRACE Partie: Ajout plaque R02
20141123 20:38:08 TRACE Partie: Ajout plaque B02
20141123 20:38:08 TRACE Partie: Ajout plaque J02
20141123 20:38:08 TRACE Partie: Ajout plaque N02
20141123 20:38:08 TRACE Partie: Ajout plaque R03
20141123 20:38:08 TRACE Partie: Ajout plaque B03
20141123 20:38:08 TRACE Partie: Ajout plaque J03
20141123 20:38:08 TRACE Partie: Ajout plaque N03
20141123 20:38:08 TRACE Partie: Ajout plaque R04
20141123 20:38:08 TRACE Partie: Ajout plaque B04
20141123 20:38:08 TRACE Partie: Ajout plaque J04
20141123 20:38:08 TRACE Partie: Ajout plaque N04
20141123 20:38:08 TRACE Partie: Ajout plaque R05
20141123 20:38:08 TRACE Partie: Ajout plaque B05
20141123 20:38:08 TRACE Partie: Ajout plaque J05
20141123 20:38:08 TRACE Partie: Ajout plaque N05
20141123 20:38:08 TRACE Partie: Ajout plaque R06
20141123 20:38:08 TRACE Partie: Ajout plaque B06
20141123 20:38:08 TRACE Partie: Ajout plaque J06
20141123 20:38:08 TRACE Partie: Ajout plaque N06
20141123 20:38:08 TRACE Partie: Ajout plaque R07
20141123 20:38:08 TRACE Partie: Ajout plaque B07
20141123 20:38:08 TRACE Partie: Ajout plaque J07
20141123 20:38:08 TRACE Partie: Ajout plaque N07
20141123 20:38:08 TRACE Partie: Ajout plaque R08
20141123 20:38:08 TRACE Partie: Ajout plaque B08
20141123 20:38:08 TRACE Partie: Ajout plaque J08
20141123 20:38:08 TRACE Partie: Ajout plaque N08
20141123 20:38:08 TRACE Partie: Ajout plaque R09
20141123 20:38:08 TRACE Partie: Ajout plaque B09
20141123 20:38:08 TRACE Partie: Ajout plaque J09
20141123 20:38:08 TRACE Partie: Ajout plaque N09
20141123 20:38:08 TRACE Partie: Ajout plaque R10
20141123 20:38:08 TRACE Partie: Ajout plaque B10
20141123 20:38:08 TRACE Partie: Ajout plaque J10
20141123 20:38:08 TRACE Partie: Ajout plaque N10
20141123 20:38:08 TRACE Partie: Ajout plaque R11
20141123 20:38:08 TRACE Partie: Ajout plaque B11
20141123 20:38:08 TRACE Partie: Ajout plaque J11
20141123 20:38:08 TRACE Partie: Ajout plaque N11
20141123 20:38:08 TRACE Partie: Ajout plaque R12
20141123 20:38:08 TRACE Partie: Ajout plaque B12
20141123 20:38:08 TRACE Partie: Ajout plaque J12
20141123 20:38:08 TRACE Partie: Ajout plaque N12
20141123 20:38:08 TRACE Partie: Ajout plaque R13
20141123 20:38:08 TRACE Partie: Ajout plaque B13
20141123 20:38:08 TRACE Partie: Ajout plaque J13
20141123 20:38:08 TRACE Partie: Ajout plaque N13
20141123 20:38:08 DEBUG Partie: Fin initialisation
20141123 20:38:08 DEBUG Partie: 56 plaques dans la pioche
20141123 20:39:17 DEBUG Partie: Debut initialisation
20141123 20:39:17 TRACE Partie: Ajout plaque R00
20141123 20:39:17 TRACE Partie: Ajout plaque B00
20141123 20:39:17 TRACE Partie: Ajout plaque J00
20141123 20:39:17 TRACE Partie: Ajout plaque N00
20141123 20:39:17 TRACE Partie: Ajout plaque R01
20141123 20:39:17 TRACE Partie: Ajout plaque B01
20141123 20:39:17 TRACE Partie: Ajout plaque J01
20141123 20:39:17 TRACE Partie: Ajout plaque N01
20141123 20:39:17 TRACE Partie: Ajout plaque R02
20141123 20:39:17 TRACE Partie: Ajout plaque B02
20141123 20:39:17 TRACE Partie: Ajout plaque J02
20141123 20:39:17 TRACE Partie: Ajout plaque N02
20141123 20:39:17 TRACE Partie: Ajout plaque R03
20141123 20:39:17 TRACE Partie: Ajout plaque B03
20141123 20:39:17 TRACE Partie: Ajout plaque J03
20141123 20:39:17 TRACE Partie: Ajout plaque N03
20141123 20:39:17 TRACE Partie: Ajout plaque R04
20141123 20:39:17 TRACE Partie: Ajout plaque B04
20141123 20:39:17 TRACE Partie: Ajout plaque J04
20141123 20:39:17 TRACE Partie: Ajout plaque N04
20141123 20:39:17 TRACE Partie: Ajout plaque R05
20141123 20:39:17 TRACE Partie: Ajout plaque B05
20141123 20:39:17 TRACE Partie: Ajout plaque J05
20141123 20:39:17 TRACE Partie: Ajout plaque N05
20141123 20:39:17 TRACE Partie: Ajout plaque R06
20141123 20:39:17 TRACE Partie: Ajout plaque B06
20141123 20:39:17 TRACE Partie: Ajout plaque J06
20141123 20:39:17 TRACE Partie: Ajout plaque N06
20141123 20:39:17 TRACE Partie: Ajout plaque R07
20141123 20:39:17 TRACE Partie: Ajout plaque B07
20141123 20:39:17 TRACE Partie: Ajout plaque J07
20141123 20:39:17 TRACE Partie: Ajout plaque N07
20141123 20:39:17 TRACE Partie: Ajout plaque R08
20141123 20:39:17 TRACE Partie: Ajout plaque B08
20141123 20:39:17 TRACE Partie: Ajout plaque J08
20141123 20:39:17 TRACE Partie: Ajout plaque N08
20141123 20:39:17 TRACE Partie: Ajout plaque R09
20141123 20:39:17 TRACE Partie: Ajout plaque B09
20141123 20:39:17 TRACE Partie: Ajout plaque J09
20141123 20:39:17 TRACE Partie: Ajout plaque N09
20141123 20:39:17 TRACE Partie: Ajout plaque R10
20141123 20:39:17 TRACE Partie: Ajout plaque B10
20141123 20:39:17 TRACE Partie: Ajout plaque J10
20141123 20:39:17 TRACE Partie: Ajout plaque N10
20141123 20:39:17 TRACE Partie: Ajout plaque R11
20141123 20:39:17 TRACE Partie: Ajout plaque B11
20141123 20:39:17 TRACE Partie: Ajout plaque J11
20141123 20:39:17 TRACE Partie: Ajout plaque N11
20141123 20:39:17 TRACE Partie: Ajout plaque R12
20141123 20:39:17 TRACE Partie: Ajout plaque B12
20141123 20:39:17 TRACE Partie: Ajout plaque J12
20141123 20:39:17 TRACE Partie: Ajout plaque N12
20141123 20:39:17 TRACE Partie: Ajout plaque R13
20141123 20:39:17 TRACE Partie: Ajout plaque B13
20141123 20:39:17 TRACE Partie: Ajout plaque J13
20141123 20:39:17 TRACE Partie: Ajout plaque N13
20141123 20:39:17 DEBUG Partie: Fin initialisation
20141123 20:39:17 DEBUG Partie: 56 plaques dans la pioche
20141123 20:39:17 DEBUG Partie: Ajout joueur Alexandra
20141123 20:39:17 DEBUG Partie: Ajout joueur Frederic
20141123 20:39:17 DEBUG Partie: Ajout joueur Clemence
20141123 20:39:17 DEBUG Partie: Ajout joueur Axel
20141123 20:40:04 DEBUG Partie: Debut initialisation
20141123 20:40:04 TRACE Partie: Ajout plaque R00
20141123 20:40:04 TRACE Partie: Ajout plaque B00
20141123 20:40:04 TRACE Partie: Ajout plaque J00
20141123 20:40:04 TRACE Partie: Ajout plaque N00
20141123 20:40:04 TRACE Partie: Ajout plaque R01
20141123 20:40:04 TRACE Partie: Ajout plaque B01
20141123 20:40:04 TRACE Partie: Ajout plaque J01
20141123 20:40:04 TRACE Partie: Ajout plaque N01
20141123 20:40:04 TRACE Partie: Ajout plaque R02
20141123 20:40:04 TRACE Partie: Ajout plaque B02
20141123 20:40:04 TRACE Partie: Ajout plaque J02
20141123 20:40:04 TRACE Partie: Ajout plaque N02
20141123 20:40:04 TRACE Partie: Ajout plaque R03
20141123 20:40:04 TRACE Partie: Ajout plaque B03
20141123 20:40:04 TRACE Partie: Ajout plaque J03
20141123 20:40:04 TRACE Partie: Ajout plaque N03
20141123 20:40:04 TRACE Partie: Ajout plaque R04
20141123 20:40:04 TRACE Partie: Ajout plaque B04
20141123 20:40:04 TRACE Partie: Ajout plaque J04
20141123 20:40:04 TRACE Partie: Ajout plaque N04
20141123 20:40:04 TRACE Partie: Ajout plaque R05
20141123 20:40:04 TRACE Partie: Ajout plaque B05
20141123 20:40:04 TRACE Partie: Ajout plaque J05
20141123 20:40:04 TRACE Partie: Ajout plaque N05
20141123 20:40:04 TRACE Partie: Ajout plaque R06
20141123 20:40:04 TRACE Partie: Ajout plaque B06
20141123 20:40:04 TRACE Partie: Ajout plaque J06
20141123 20:40:04 TRACE Partie: Ajout plaque N06
20141123 20:40:04 TRACE Partie: Ajout plaque R07
20141123 20:40:04 TRACE Partie: Ajout plaque B07
20141123 20:40:04 TRACE Partie: Ajout plaque J07
20141123 20:40:04 TRACE Partie: Ajout plaque N07
20141123 20:40:04 TRACE Partie: Ajout plaque R08
20141123 20:40:04 TRACE Partie: Ajout plaque B08
20141123 20:40:04 TRACE Partie: Ajout plaque J08
20141123 20:40:04 TRACE Partie: Ajout plaque N08
20141123 20:40:04 TRACE Partie: Ajout plaque R09
20141123 20:40:04 TRACE Partie: Ajout plaque B09
20141123 20:40:04 TRACE Partie: Ajout plaque J09
20141123 20:40:04 TRACE Partie: Ajout plaque N09
20141123 20:40:04 TRACE Partie: Ajout plaque R10
20141123 20:40:04 TRACE Partie: Ajout plaque B10
20141123 20:40:04 TRACE Partie: Ajout plaque J10
20141123 20:40:04 TRACE Partie: Ajout plaque N10
20141123 20:40:04 TRACE Partie: Ajout plaque R11
